Average Pop DBH [cm],Average Pop Crown Diamter [m],Average Pop Crown Cover [m^2],Max Stand Density [trees / ha]
  10.0 ,  2.0 ,  3 ,3183
  20.0 ,  4.0 ,  13 ,796 
  30.0 ,  6.0 ,  28 ,354 
  40.0 ,  8.0 ,  50 ,199 
  50.0 ,  10.0 ,  79 ,127 
  60.0 ,  12.0 ,  113,88 
  70.0 ,  14.0 ,  154 ,65 
  80.0 ,  16.0 ,  201 ,50 
  90.0 ,  18.0 ,  254 ,  39 
  100.0 ,  20.0 ,  314 ,  32 
  110.0 ,  22.0 ,  380 ,  26 
  120.0 ,  24.0 ,  452 ,  22 
  130.0 ,  26.0 ,  531 ,  19 
  140.0 ,  28.0 ,  616 ,  16 
  150.0 ,  30.0 ,  707 ,  14 
  160.0 ,  32.0 ,  804 ,  12 
  170.0 ,  34.0 ,  908 ,  11 
  180.0 ,  36.0 ,1018,  10 
  190.0 ,  38.0 ,1134,  9 
  200.0 ,  40.0 ,1257,  8 
